stockID
9336WCYI
industrySector
biotechnology
noShares
680569413
dailyPrice
2024-12-31;257.15
2025-01-02;252.72
2025-01-03;251.75
2025-01-06;254.99
2025-01-07;251.29
2025-01-08;250.84
2025-01-09;253.38
2025-01-10;252.48
2025-01-13;259.48
2025-01-14;258.73
2025-01-15;257.05
2025-01-16;252.59
2025-01-17;252.52
2025-01-21;244.45
2025-01-22;240.26
2025-01-23;227.97
2025-01-24;229.96
2025-01-27;218.33
2025-01-28;220.38
2025-01-29;219.36
2025-01-30;226.11
2025-01-31;222.24
2025-02-03;212.71
2025-02-04;202.92
2025-02-05;208.34
2025-02-06;215.34
2025-02-07;212.29
2025-02-10;207.76
2025-02-11;206.97
2025-02-12;219.77
2025-02-13;220.12
2025-02-14;212.59
2025-02-18;207.23
2025-02-19;200.26
2025-02-20;205.85
2025-02-21;203.52
2025-02-24;205.88
2025-02-25;207.60
2025-02-26;206.44
2025-02-27;206.12
2025-02-28;204.66
2025-03-03;200.21
2025-03-04;196.83
2025-03-05;197.07
2025-03-06;199.70
2025-03-07;196.82
2025-03-10;199.14
2025-03-11;194.15
2025-03-12;191.21
2025-03-13;183.55
2025-03-14;184.18
2025-03-17;182.66
2025-03-18;184.00
2025-03-19;179.49
2025-03-20;176.00
2025-03-21;176.53
2025-03-24;177.40
2025-03-25;177.11
2025-03-26;181.79
2025-03-27;182.11
2025-03-28;191.07
2025-03-31;188.70
2025-04-01;190.91
2025-04-02;193.51
2025-04-03;194.57
2025-04-04;194.02
2025-04-07;194.37
2025-04-08;193.31
2025-04-09;189.85
2025-04-10;188.28
2025-04-11;188.26
2025-04-14;188.87
2025-04-15;187.93
2025-04-16;188.53
2025-04-17;183.65
2025-04-21;184.44
2025-04-22;185.59
2025-04-23;183.41
2025-04-24;184.20
2025-04-25;178.94
2025-04-28;176.97
2025-04-29;175.98
2025-04-30;174.32
2025-05-01;172.43
2025-05-02;168.23
2025-05-05;170.69
2025-05-06;173.02
2025-05-07;175.58
2025-05-08;177.51
2025-05-09;169.48
2025-05-12;172.53
2025-05-13;174.15
2025-05-14;169.85
2025-05-15;179.10
2025-05-16;178.50
2025-05-19;173.05
2025-05-20;175.94
2025-05-21;181.48
2025-05-22;182.72
2025-05-23;175.84
2025-05-27;176.91
2025-05-28;179.89
2025-05-29;182.44
2025-05-30;188.12
2025-06-02;181.74
2025-06-03;179.54
2025-06-04;176.24
2025-06-05;171.39
2025-06-06;171.56
2025-06-09;169.01
2025-06-10;171.35
2025-06-11;169.06
2025-06-12;166.60
2025-06-13;165.82
2025-06-16;165.42
2025-06-17;165.36
2025-06-18;169.20
2025-06-20;166.24
2025-06-23;168.20
2025-06-24;168.40
2025-06-25;170.81
2025-06-26;171.89
2025-06-27;171.51
2025-06-30;170.98
2025-07-01;172.82
2025-07-02;170.24
2025-07-03;167.98
2025-07-07;168.28
2025-07-08;165.75
2025-07-09;165.69
2025-07-10;172.87
2025-07-11;176.66
2025-07-14;172.43
2025-07-15;176.43
2025-07-16;180.13
2025-07-17;190.81
2025-07-18;194.73
2025-07-21;195.96
2025-07-22;194.48
2025-07-23;195.89
2025-07-24;199.02
2025-07-25;199.35
2025-07-28;198.88
2025-07-29;195.87
2025-07-30;185.71
2025-07-31;187.48
2025-08-01;191.68
2025-08-04;192.44
2025-08-05;194.87
2025-08-06;193.30
2025-08-07;199.63
2025-08-08;200.50
2025-08-11;200.55
2025-08-12;203.65
2025-08-13;211.25
2025-08-14;215.95
2025-08-15;217.33
2025-08-18;219.16
2025-08-19;218.04
2025-08-20;217.56
2025-08-21;220.76
2025-08-22;216.91
2025-08-25;208.23
2025-08-26;205.42
2025-08-27;196.89
2025-08-28;199.33
2025-08-29;198.06
2025-09-02;203.67
2025-09-03;202.55
2025-09-04;199.46
2025-09-05;198.42
2025-09-08;197.09
2025-09-09;202.85
2025-09-10;202.63
2025-09-11;202.31
2025-09-12;205.51
2025-09-15;208.68
2025-09-16;199.07
2025-09-17;195.20
2025-09-18;193.61
2025-09-19;192.12
2025-09-22;192.01
2025-09-23;189.98
2025-09-24;192.95
2025-09-25;196.72
2025-09-26;200.73
2025-09-29;200.25
2025-09-30;191.26
2025-10-01;191.00
2025-10-02;191.41
2025-10-03;187.00
2025-10-06;190.92
2025-10-07;195.97
2025-10-08;198.97
2025-10-09;191.76
2025-10-10;191.73
2025-10-13;196.26
2025-10-14;198.03
2025-10-15;195.18
2025-10-16;191.69
2025-10-17;186.68
2025-10-20;182.38
2025-10-21;182.94
2025-10-22;179.31
2025-10-23;177.55
2025-10-24;174.56
2025-10-27;170.88
2025-10-28;169.43
2025-10-29;165.55
2025-10-30;160.68
2025-10-31;157.07
2025-11-03;162.40
2025-11-04;160.40
2025-11-05;163.75
2025-11-06;166.75
2025-11-07;171.23
2025-11-10;169.53
2025-11-11;172.28
2025-11-12;169.55
2025-11-13;175.81
2025-11-14;176.44
2025-11-17;173.64
2025-11-18;176.42
2025-11-19;185.32
2025-11-20;183.52
2025-11-21;185.30
2025-11-24;185.16
2025-11-25;185.18
2025-11-26;183.38
2025-11-28;184.82
2025-12-01;181.38
2025-12-02;185.11
2025-12-03;187.89
2025-12-04;193.52
2025-12-05;190.40
2025-12-08;188.59
2025-12-09;187.78
2025-12-10;186.38
2025-12-11;186.20
2025-12-12;185.63
2025-12-15;188.65
2025-12-16;184.10
2025-12-17;187.62
2025-12-18;190.33
2025-12-19;186.67
2025-12-22;181.31
2025-12-23;178.75
2025-12-24;180.21
2025-12-26;183.31
2025-12-29;186.95
2025-12-30;194.22
2025-12-31;197.51
